5,5;0
6;0,000160515
6,5;0,000479704
7;0,00136114
7,5;0,00370175
8;0,0156295
8,5;0,0665536
9;0,0276503
9,5;0,0833346
10;0,132371
10,5;0,0428051
11;0,0396447
11,5;0,0553808
12;0,0387209
12,5;0,0344242
13;0,0363694
13,5;0,0392708
14;0,0419294
14,5;0,0454392
15;0,0470949
15,5;0,0481953
16;0,0490852
16,5;0,0492566
17;0,05008
17,5;0,0503218
18;0,0507994
18,5;0,0504027
19;0,0495022
19,5;0,0494839
20;0,0487909
20,5;0,0470846
21;0,0465083
21,5;0,0444857
22;0,043297
22,5;0,0416053
23;0,0400774
23,5;0,039018
24;0,0372561
24,5;0,0363866
25;0,0343964
25,5;0,0333329
26;0,0313747
26,5;0,0297474
27;0,0281365
27,5;0,0267782
28;0,0248063
28,5;0,023127
29;0,0210608
29,5;0,0193868
30;0,0183345
30,5;0,0161955
31;0,0147041
31,5;0,0127698
32;0,0111666
32,5;0,00949688
33;0,00749695
33,5;0,00564851
34;0,00428616
34,5;0,00325487
35;0,000540472
35,5;0
